,title,rating,reviewCount,category,attributes,address,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday
91,Кактус БАР,4.1,177.0,Cafe,·  Dine-in  ·  Curbside pickup  ·  Delivery,"Skopje 1000, North Macedonia",+389 71 277 297,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–12a.m.
92,Apartman 18 Cafe&Bar,5.0,2.0,Coffee shop,·  Dine-in,"42.0004951, 21.4384038 Skopje MK, 1000, North Macedonia",+389 71 421 577,9a.m.–11:30p.m.,9a.m.–11:30p.m.,9a.m.–11:30p.m.,9a.m.–11:30p.m.,9a.m.–1a.m.,11a.m.–2a.m.,12–11:30p.m.
93,Marion Cafeteria,5.0,7.0,Cafe,,"Maksim Gorki 8, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
94,Src Nikola Karev,4.4,111.0,Cafe,·  Delivery,"Karposhevo Vostanie 4, Skopje 1000, North Macedonia",+389 71 393 141,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–12a.m.
95,Chloé café,4.9,8.0,Cafe,,"ul, Orce Nikolov 93, Skopje 1000, North Macedonia",+389 70 266 655,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–12a.m.
96,Kismet Cafe,4.6,11.0,Cafe,,"Kurcinska Üsküp MK, 1000, North Macedonia",+389 71 297 719,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
97,Heart Bar Skopje,4.5,193.0,Bar,·  Dine-in,"MK, Naum Naumovski Borche 50-1/1, Skopje 1000, North Macedonia",+389 70 250 964,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.
98,Pera Cafe,5.0,3.0,Cafe,,"XCXP+V7R, Skopje 1000, North Macedonia",+389 71 701 645,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
99,LARES Waffle Caffe,3.0,2.0,Coffee shop,·  Takeout,"Bitpazarska 3/1-12, Skopje, Skopie 1000, Bitpazarska, Skopje, Skopje 1000, North Macedonia",+389 71 602 512,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.
100,La Cafeteria,4.7,6.0,Bar,,"Boulevard 8mi Septemvri br.18, Skopje 1000, North Macedonia",+389 71 334 041,8a.m.–6p.m.,8a.m.–6p.m.,8a.m.–6p.m.,8a.m.–6p.m.,8a.m.–6p.m.,9a.m.–2p.m.,9a.m.–2p.m.
101,Гарф,4.5,125.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"1000, Skopje, North Macedonia",+389 70 411 412,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
102,Sport Caffe,4.4,23.0,Cafe,,"XCPX+6WP, Franjo Kluz, Skopje 1000, North Macedonia",+389 75 442 044,2–11:59p.m.,2–11:59p.m.,2–11:59p.m.,2–11:59p.m.,2p.m.–1a.m.,2p.m.–1a.m.,Closed
103,Mikel Coffee,4.4,243.0,Coffee shop,·  Dine-in  ·  Takeout,"Centar Skopje, 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
104,New York Caffe,5.0,1.0,Cafe,,"Кеј 13ти Ноември 8, Skopje 1000, North Macedonia",+389 70 217 087,9a.m.–12p.m.,9a.m.–12p.m.,9a.m.–12p.m.,9a.m.–12p.m.,9a.m.–1p.m.,9a.m.–1p.m.,10a.m.–12p.m.
105,Cafe Bar Desert Rose,4.7,3.0,Cafe,·  Delivery,"XFMM+4M7, Fevruarski Pohod, Skopje 1000, North Macedonia",+389 75 337 379,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–1a.m.,10a.m.–1a.m.,10a.m.–12a.m.
106,Corsso,4.4,163.0,Cafe,·  Delivery,"XCRH+XPV, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
107,Joy Café & Bakery,4.8,4.0,Bakery,,"Vasil Gjorgov 21, Skopje 1000, North Macedonia",,7:30a.m.–6p.m.,7:30a.m.–6p.m.,7:30a.m.–6p.m.,7:30a.m.–6p.m.,7:30a.m.–6p.m.,8a.m.–4p.m.,9a.m.–4p.m.
108,Insta Cafe,4.4,213.0,Bar,,"Pirinska 48, Skopje 1000, North Macedonia",+389 70 489 000,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,9:30a.m.–12a.m.
109,Craft Coffee Shop,,,Coffee shop,·  Dine-in  ·  Curbside pickup  ·  Delivery,"Лазар Трповски, Skopje 1000, North Macedonia",+389 71 665 555,7a.m.–11:30p.m.,7a.m.–11:30p.m.,7a.m.–11:30p.m.,7a.m.–11:30p.m.,7a.m.–11:30p.m.,7a.m.–11:30p.m.,7a.m.–11:30p.m.
110,KULT kafe,4.6,7.0,Coffee shop,,"Orce Nikolov 133, Skopje 1000, North Macedonia",+389 70 349 947,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,Closed
111,"Cafe bar ""Te Cari""",4.5,2.0,Cafe,·  Delivery,"W9W2+MFF, Chiflik, North Macedonia",,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,11a.m.–11p.m.
112,Kafe Bond,5.0,2.0,Cafe,·  Curbside pickup  ·  Delivery,"ul, Arhiepiskop Angelarij, 1a 1000, North Macedonia",+389 70 423 424,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–12a.m.,8a.m.–12a.m.
113,Cafe FK Rabotnichki,4.0,1.0,Cafe,,"Basketball Club Rabotnichki, Skopje 1000, North Macedonia",,,,,,,,
114,Velo,5.0,9.0,Cafe,,"1000, Skopje, North Macedonia",,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.
115,MOIA Coffee & Cakes,5.0,5.0,Coffee shop,·  Dine-in  ·  Takeout  ·  Delivery,"Boulevard 8-mi Septemvri, Skopje 1000, North Macedonia",,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,11a.m.–7p.m.
116,VENI cafe-bar,4.3,108.0,Cafeteria,,"Branko Zarevski ББ лок. бр 8 Skopje MK, 1050, North Macedonia",,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.
117,Trocadero,5.0,2.0,Cafe,,"1000, Leninova 29, Skopje 1000, North Macedonia",,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.
118,Balloon Caffe & Bar,4.7,101.0,Art cafe,,"Todor Panica 7-1, Skopje 1000, North Macedonia",+389 75 208 034,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,10a.m.–12a.m.
119,cafe: de Namur,5.0,1.0,Cafe,,"2CFR+MGP, Tale Hristov, Skopje 1000, North Macedonia",,,,,,,,
120,Cafe Bar Tehnogas,5.0,4.0,Cafe,,"28JV+C3R, Unnamed Road, Skopje, North Macedonia",,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
121,Sector 6,5.0,8.0,,,"Samoilova, Skopje 1000, North Macedonia",,10a.m.–11:30p.m.,10a.m.–11:30p.m.,10a.m.–11:30p.m.,10a.m.–11:30p.m.,10a.m.–11:30p.m.,10a.m.–11:30p.m.,10a.m.–11:30p.m.
122,Garden Cafe & Restaurant,4.6,8.0,Restaurant,·  Dine-in  ·  Takeout,"Chair, Skopje skopje MK, 1000, North Macedonia",+389 70 687 363,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–11:30p.m.
123,Tractor Cafe,4.4,7.0,Cafe,·  Delivery,"XFFH+H7J, Dimitar Blagoev, Skopje 1000, North Macedonia",,Closed,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,Closed
124,Caffe nuro,,,Cafe,·  Dine-in  ·  Curbside pickup  ·  Delivery,"Anton Popov Skopje MK, 1000, North Macedonia",,,,,,,,
125,Gani Caffe,5.0,1.0,Coffee shop,,"2C9V+2FX, Skopje 1000, North Macedonia",,,,,,,,
126,Leaf Cafe,4.3,230.0,Catering food and drink supplier,,"MK, Boulevard 8-mi Septemvri, Skopje 1000, North Macedonia",+389 75 264 666,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.
127,Kotur,4.8,436.0,Cultural association,,"Nikola Vapcarov nb.7, Skopje 1000, North Macedonia",+389 78 357 896,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
128,02 mr coffe bar,5.0,5.0,Coffee shop,,"centar vasil glavinov 10 skopje MK, 1000, North Macedonia",,,,,,,,
129,Kiosk Cafe & Bakery,3.0,2.0,Bakery,·  In-store shopping,"Ul. Leninova br.60, Skopje 1000, North Macedonia",+389 79 201 979,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,10a.m.–4p.m.,Closed
130,Bravo Cafe,4.6,158.0,Bar,·  Delivery,"XCXC+H5C, Shopping Mall Bunjakovec, Vladimir Polezhanovski Road, Skopje, Skopje, North Macedonia",,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,6:30p.m.–1a.m.
131,Mozzart Bet,4.4,13.0,Cafe,,"Vostanichka 31, Skopje 1000, North Macedonia",+389 2 329 6155,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.
132,Shkup veri,,,Coffee shop,,"2CCQ+QVJ, Skopje 1000, North Macedonia",,,,,,,,
133,Coffe Barcelona Saraj,5.0,8.0,Cafe,,"Ul 20 Skopje MK, 1000, North Macedonia",+389 72 673 790,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.
134,Kafe*Arra*SaRaj,4.2,18.0,Cafe,·  Delivery,"X8XG+HQ2, Skopje 1062, North Macedonia",+389 71 688 875,7p.m.–10a.m.,7p.m.–10a.m.,7p.m.–10a.m.,7p.m.–10a.m.,7p.m.–10a.m.,7p.m.–10a.m.,7p.m.–10a.m.
135,Mickitos Cocktails & Coffee,4.7,128.0,Coffee store,,"Ulica Filip II, Skopje 1000 Skopje MK, 1000, North Macedonia",+389 71 396 747,,,,,,,
136,Play Caffe,4.5,322.0,Bar,·  Delivery,"XCVJ+222, Boulevard Macedonia, Skopje 1000, North Macedonia",+389 77 692 533,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
137,Pogon,4.7,133.0,Bar,·  Dine-in  ·  Takeout,"MK, Jurij Gagarin 51/1, Skopje 1000, North Macedonia",+389 70 423 023,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
138,Sindikat Cafe Bar,4.6,606.0,Bar,·  Takeout  ·  Dine-in  ·  Delivery,"Орце Николов 97, Скопје 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
139,Palma Café,4.9,16.0,Coffee shop,,"P402 1060, Skopje 1000, North Macedonia",,6a.m.–12p.m.,6a.m.–12p.m.,6a.m.–12p.m.,6a.m.–12p.m.,6a.m.–12p.m.,6a.m.–12p.m.,6a.m.–12p.m.
140,Van Gogh Bar,4.6,569.0,Bar,·  Takeout  ·  Dine-in  ·  Delivery,"MK, Mihail Cokov 4, Skopje 1000, North Macedonia",+389 2 312 1876,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,8a.m.–12a.m.
141,Pogon,4.7,133.0,Bar,·  Dine-in  ·  Takeout,"MK, Jurij Gagarin 51/1, Skopje 1000, North Macedonia",+389 70 423 023,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
142,Speakeasy Bar,4.7,243.0,Cocktail bar,·  Curbside pickup  ·  No-contact delivery  ·  Dine-in,"MK, Naum Naumovski Borche, Skopje 1000, North Macedonia",+389 78 417 996,4p.m.–12a.m.,4p.m.–12a.m.,4p.m.–12a.m.,4p.m.–12a.m.,4p.m.–1a.m.,5p.m.–1a.m.,4p.m.–12a.m.
143,Garson,4.4,385.0,Live music bar,·  Curbside pickup  ·  Delivery,"XCWH+622, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
144,Mr. Jack,4.5,568.0,Bar,·  Delivery,"Maksim Gorki 8, Skopje 1000, North Macedonia",+389 2 323 1999,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.
145,Nano,4.4,207.0,Bar,·  Delivery,"Antonie Grubishich 2, Skopje 1000, North Macedonia",+389 78 246 418,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
146,Rakija Bar Kaldrma,4.6,308.0,Bar,·  Curbside pickup  ·  Delivery,"XCXP+W8V, Jorgandziska, Skopje 1000, North Macedonia",+389 2 311 6775,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
147,Shot Bar Bezisten,4.6,5.0,Bar,,"Pokriena Charshija 37b, Skopje 1000, North Macedonia",,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
148,All day bar - Skopje,4.5,62.0,Bar,,"Rruga e Bit Pazarit 15, Skopie 1000, North Macedonia",+389 78 228 756,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8:30a.m.–1a.m.,9a.m.–12a.m.
149,Kasha Bar,4.7,399.0,Pub,·  Dine-in  ·  Curbside pickup  ·  Delivery,"Karposh, Skopje, 1000, North Macedonia",+389 2 307 4060,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–6p.m.
150,Центар Бар,4.3,882.0,Bar,·  Dine-in  ·  Takeout,"Dimitrie Cupovski 13, Skopje 1000, North Macedonia",+389 2 609 1100,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,Closed
151,Heart Bar Skopje,4.5,193.0,Bar,·  Dine-in,"MK, Naum Naumovski Borche 50-1/1, Skopje 1000, North Macedonia",+389 70 250 964,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.
152,St. Patrick,4.4,2196.0,Irish pub,·  Dine-in  ·  Takeout,"Кеј 13-ти Ноември 8, Skopje 1000, North Macedonia",+389 2 325 6337,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
153,Custom pub,4.6,418.0,Cafe,·  Dine-in  ·  Delivery,"MK, Boulevard VMRO, Skopje 1000, North Macedonia",+389 71 394 941,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,10a.m.–12a.m.
154,Konak,4.7,318.0,Bar,·  Curbside pickup  ·  Delivery,"Borka Talevski 53, Skopje 1000, North Macedonia",+389 2 609 0879,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,12p.m.–12a.m.,5p.m.–12a.m.
155,Drinkers Paradise Bar - Cocktail Bar,4.3,71.0,Cocktail bar,·  Curbside pickup  ·  Delivery,"Булевар Партизански Одреди 17 (спроти Соборна MK, Blvd. Partizanski Odredi 17, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,Closed
156,Roosevelt,4.5,484.0,Bar,·  Curbside pickup  ·  Dine-in  ·  Delivery,"Franklin Ruzvelt 51, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
157,Casa,4.4,366.0,Bar,·  Curbside pickup  ·  Delivery,"309 6, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
158,Wine bar Kaldrma,4.7,34.0,Bar,·  Dine-in  ·  Delivery,"Arhiepiskop Angelarij 7, Skopje 1000 MK, Skopje 1000, North Macedonia",+389 78 336 137,12p.m.–1a.m.,12p.m.–1a.m.,12p.m.–2a.m.,12p.m.–1a.m.,12p.m.–4a.m.,12p.m.–5a.m.,12p.m.–1a.m.
159,Plat Bar,4.6,54.0,Bar,·  Delivery,"Анкарска 23 2 MK, 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
160,Chillin' Bar,4.7,248.0,Bar,·  Delivery,"MK, Orce Nikolov 145, Skopje 1000, North Macedonia",+389 2 312 3005,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.
161,Caffe Bar 8,4.5,23.0,Restaurant,·  Delivery,"Bitpazarska 58, Skopje 1000, North Macedonia",+389 70 383 188,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,5p.m.–12a.m.
162,MAKKA Bar,4.8,55.0,Bar,,"Boulevard Saint Clement of Ohrid 60, Skopje 1000, North Macedonia",+389 70 426 789,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
163,Sindikat Cafe Bar,4.6,606.0,Bar,·  Takeout  ·  Dine-in  ·  Delivery,"Орце Николов 97, Скопје 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
164,N Bar Bar,5.0,17.0,Bar,,"Petar Pop Arsov 14a, Skopje 1000, Petar Pop Arsov 14a, Skopje 1000, North Macedonia",+389 70 241 468,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.
165,Intermezzo,4.5,565.0,Bar,·  Delivery,"XCV7+VJW, Naroden Front, Skopje 1000, North Macedonia",+389 70 268 454,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
166,Legend Pub - Skopje,4.8,43.0,Pub,·  Delivery,"Borka Talevski 55, Skopje 1000, North Macedonia",+389 75 454 554,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–1a.m.,10a.m.–1a.m.,7p.m.–12a.m.
167,RADIOBAR,4.5,613.0,Bar,·  Curbside pickup  ·  Delivery,"Pirinska 52, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,10a.m.–12a.m.
168,Capri Coffee Bar,4.6,566.0,Cafe,·  Takeout  ·  Delivery,"MK, Атинска 25, Skopje 1000, North Macedonia",+389 71 365 535,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,9a.m.–1a.m.
169,Kino Karposh,4.5,827.0,Bar,·  Curbside pickup  ·  Delivery,"2C29+C3C, Radnjanska, Skopje 1000, North Macedonia",+389 2 321 3515,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9:30a.m.–12a.m.
170,BKC Bar,4.9,10.0,Bar,·  Dine-in,"MK, Blvd. Partizanski Odredi 29, Skopje 1000, North Macedonia",,12p.m.–12a.m.,12p.m.–12a.m.,12p.m.–12a.m.,12p.m.–12a.m.,12p.m.–1a.m.,12p.m.–1a.m.,6p.m.–12a.m.
171,Cherry Bar,4.5,608.0,Cafe,·  Dine-in  ·  Delivery,"Rajko Zhinzifov, Skopje 1000, North Macedonia",+389 2 615 2666,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
172,Marvel Coffee Bar,4.5,272.0,Bar,·  Delivery,"Nikola Tesla 9, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
173,BKW Hybrid Bar,4.4,706.0,Bar,·  Dine-in  ·  Takeout,"MK, New Delhi Rd 13, Skopje 1000, North Macedonia",+389 71 216 348,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–2a.m.
174,Pravda,4.1,207.0,Bar,,"Leninova 38, Skopje 1000, North Macedonia",+389 76 483 355,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
175,Amok Bar,4.3,49.0,Bar,·  Takeout,"Bul. Partizanski Odredi 1 - 10/4 Skopje MK, 1000, North Macedonia",,Closed,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–1a.m.,10a.m.–1a.m.,5–10p.m.
176,Clique Bar,3.4,8.0,Bar,,"XCXP+RMQ, Казанџиска, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,9a.m.–12a.m.,9a.m.–11p.m.
177,Vinyl Coffee Bar,4.5,376.0,Cafe,·  Takeout  ·  Dine-in  ·  Delivery,"Park Ezerce, Skopje 1000, North Macedonia",+389 70 685 816,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,10a.m.–12a.m.
178,Rock Bar Old School,4.6,288.0,Bar,·  Dine-in  ·  Curbside pickup  ·  Delivery,"ul. 31, br 17, Skopje 1000, North Macedonia",+389 77 539 955,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–1a.m.,10a.m.–1a.m.,4p.m.–12a.m.
179,El Cabron Wine Bar,4.9,14.0,Wine bar,·  Dine-in  ·  Curbside pickup  ·  No-contact delivery,"Franklin Ruzvelt 63A, Skopje 1000, North Macedonia",+389 71 234 553,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
180,Coffee & Lounge Bar STERNA,4.6,28.0,Bar,·  Dine-in,"New Delhi Rd 7, Skopje 1000 MK, 1000, North Macedonia",,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,Closed
181,Temov brewery,4.3,940.0,Brewpub,·  Dine-in,"Samoilova, Skopje 1000, North Macedonia",+389 75 235 782,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
182,Kolektiv,4.4,762.0,Restaurant,·  Dine-in  ·  Takeout,"11th October, Square Macedonia, Skopje 1000, North Macedonia",+389 2 314 4345,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
183,Neno's Cocktail Bar,5.0,1.0,Bar,,"Ivan Agovski 8, Skopje 1000, North Macedonia",,,,,,,,
184,Kotur,4.8,436.0,Cultural association,,"Nikola Vapcarov nb.7, Skopje 1000, North Macedonia",+389 78 357 896,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
185,Aloha,5.0,1.0,Bar,,"Unnamed Road, Skopie 1000, North Macedonia",,,,,,,,
